PaperName,Author,FromSchool,Time,Url
基于支持向量机的交通流预测方法研究,王凡,大连理工大学,2009-12-10,//cdmd.cnki.com.cn/Article/CDMD-10141-2010111389.htm
深部松散煤体巷道流变机理研究及控制对策,孙元田,中国矿业大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-10290-1020962637.htm
狭小工作舱人体疲劳特性分析及布局优化研究,范文,西北工业大学,2015-09-01,//cdmd.cnki.com.cn/Article/CDMD-10699-1017803639.htm
面向异构计算的能效感知调度研究,王静莲,山东大学,2015-11-15,//cdmd.cnki.com.cn/Article/CDMD-10422-1016027326.htm
基于深度神经网络的视觉媒体风格转换方法研究,陈冬冬,中国科学技术大学,2019-06-04,//cdmd.cnki.com.cn/Article/CDMD-10358-1019057830.htm
旋转机械智能故障诊断方法的研究,朱兴统,广东工业大学,2020-06-01,//cdmd.cnki.com.cn/Article/CDMD-11845-1020086892.htm
大规模知识图谱服务的系统与应用研究,何亮,中国科学技术大学,2018-05-01,//cdmd.cnki.com.cn/Article/CDMD-10358-1018095983.htm
自主移动机器人路径规划及轨迹跟踪的研究,陈少斌,浙江大学,2008-10-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2009055558.htm
煤粉与生物质热解和燃烧的高精度数值模拟研究,邢江宽,浙江大学,2020-04-01,//cdmd.cnki.com.cn/Article/CDMD-10335-1020960099.htm
强化学习及其在机器人系统中的应用研究,陈学松,广东工业大学,2011-06-01,//cdmd.cnki.com.cn/Article/CDMD-11911-1011149140.htm
人脸美丽吸引力的特征分析与机器学习,毛慧芸,华南理工大学,2011-04-08,//cdmd.cnki.com.cn/Article/CDMD-10561-1011188499.htm
大面积采空区失稳的重大危险源辨识,罗一忠,中南大学,2005-11-01,//cdmd.cnki.com.cn/Article/CDMD-10533-2006037347.htm
装配线平衡的最优化模型与算法研究,周亮,南京理工大学,2005-06-01,//cdmd.cnki.com.cn/Article/CDMD-10288-2006183238.htm
符号社交网络中负关系预测以及网络嵌入的研究,沈鹏飞,吉林大学,2019-12-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1020011063.htm
金属板料数控渐进成形技术成形极限与回弹控制研究,张旭,重庆大学,2010-05-01,//cdmd.cnki.com.cn/Article/CDMD-10611-2010215563.htm
空间信息服务聚合的关键技术研究,王强,解放军信息工程大学,2010-04-20,//cdmd.cnki.com.cn/Article/CDMD-90008-1011057291.htm
用本体实现地理信息系统语义集成和互操作,崔巍,武汉大学,2004-05-01,//cdmd.cnki.com.cn/Article/CDMD-10486-2004111592.htm
基于乐谱识别的深度学习算法作曲系统,景宇阳,南京艺术学院,2020-06-06,//cdmd.cnki.com.cn/Article/CDMD-10331-1020125568.htm
Spiking机器学习算法研究,张马路,电子科技大学,2019-03-18,//cdmd.cnki.com.cn/Article/CDMD-10614-1019851567.htm
基于机器学习的眼科疾病自动诊断中的关键问题研究,张凯,西安电子科技大学,2019-12-01,//cdmd.cnki.com.cn/Article/CDMD-10701-1020027809.htm
问答系统的答案优化方法研究,相洋,哈尔滨工业大学,2017-03-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1017862293.htm
整合生物标志物体系的建立及在疾病诊断和药物疗效评价中的应用,黄敏,华东理工大学,2012-04-04,//cdmd.cnki.com.cn/Article/CDMD-10251-1012516408.htm
合作与会话——合作原则及其应用研究,金立,浙江大学,2005-04-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2005119195.htm
基于深度神经网络的DDH影像学辅助诊断模型的构建与应用研究,李强,吉林大学,2020-11-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1021002806.htm
基于模糊QFD的产品形态情感化设计研究,康信辉,华东理工大学,2019-03-15,//cdmd.cnki.com.cn/Article/CDMD-10251-1019053802.htm
基于SVM学习模型的换挡决策研究,张元侠,吉林大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1019157579.htm
运动传感器测量身体活动的关键技术研究,戴剑松,南京医科大学,2015-05-01,//cdmd.cnki.com.cn/Article/CDMD-10312-1015381962.htm
感知、协作与进化—智能依赖于结构和其上的运动,邢佑路,南京大学,2015-11-07,//cdmd.cnki.com.cn/Article/CDMD-10284-1016121989.htm
场景语义解析理论与方法研究,石恒璨,电子科技大学,2019-11-01,//cdmd.cnki.com.cn/Article/CDMD-10614-1020716323.htm
基于分位数自回归的金融风险计量研究,刘曦,合肥工业大学,2016-12-01,//cdmd.cnki.com.cn/Article/CDMD-10359-1017213512.htm
智能集成CAD/CAPP系统关键技术研究,王军,燕山大学,2010-06-30,//cdmd.cnki.com.cn/Article/CDMD-10216-2010088800.htm
本体的构建及其在数字图书馆中的应用研究,杜文华,武汉大学,2005-04-01,//cdmd.cnki.com.cn/Article/CDMD-10486-2006031442.htm
基于本体的企业知识型员工人岗匹配案例推理系统研究,光晖,合肥工业大学,2020-04-01,//cdmd.cnki.com.cn/Article/CDMD-10359-1020419877.htm
互联网对市民社会的影响研究,钟超,中共中央党校,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-80000-1019008587.htm
复杂网络同步控制及其在电力系统中的应用研究,蒋强,西南交通大学,2011-07-01,//cdmd.cnki.com.cn/Article/CDMD-10613-1012389635.htm
基于视觉导航的智能车辆在城区复杂场景中的目标检测技术研究,沈志熙,重庆大学,2008-10-01,//cdmd.cnki.com.cn/Article/CDMD-10611-2009050737.htm
约束条件下的多智能体协同控制方法研究,李东禹,哈尔滨工业大学,2019-11-01,//cdmd.cnki.com.cn/Article/CDMD-10213-1020401912.htm
基于面元法理论的船用螺旋桨设计方法研究,蔡昊鹏,哈尔滨工程大学,2011-02-01,//cdmd.cnki.com.cn/Article/CDMD-10217-1012264006.htm
基于粗糙集的数据挖掘方法研究,崔广才,吉林大学,2004-12-15,//cdmd.cnki.com.cn/Article/CDMD-10183-2005013367.htm
面向图像分割的智能算法研究,赵晓丽,上海大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10280-1019037742.htm
融合运动学和声学特征的语音情感识别研究,任国凤,太原理工大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10112-1019871185.htm
心身问题的自然化进程研究,刘冠帅,吉林大学,2019-06-01,//cdmd.cnki.com.cn/Article/CDMD-10183-1019139325.htm
基于GIS的智能高速公路管理关键技术研究与实现,王忠军,解放军信息工程大学,2009-09-20,//cdmd.cnki.com.cn/Article/CDMD-90008-1011057282.htm
免疫进化计算理论及应用,王磊,西安电子科技大学,2001-09-01,//cdmd.cnki.com.cn/Article/CDMD-10701-2002050389.htm
多智能体模型、学习和协作研究与应用,于江涛,浙江大学,2003-06-01,//cdmd.cnki.com.cn/Article/CDMD-10335-2004042559.htm
基于铁路货运大数据的重车车流推算关键技术研究,张晓栋,北京交通大学,2018-06-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1018131060.htm
公路隧道风井送排式纵向通风系统智能控制研究,万良勇,北京交通大学,2015-09-01,//cdmd.cnki.com.cn/Article/CDMD-10004-1017064238.htm
基于关键词提取的中文网页自动文摘方法研究,蒋昌金,华南理工大学,2010-05-24,//cdmd.cnki.com.cn/Article/CDMD-10561-2010227774.htm
基于智能方法的产品制造过程质量诊断,程志强,南京理工大学,2011-03-01,//cdmd.cnki.com.cn/Article/CDMD-10288-1011173026.htm
过渡金属氧化物忆阻器的阻变性能及大脑神经功能模拟研究,尹雪兵,华中科技大学,2017-05-15,//cdmd.cnki.com.cn/Article/CDMD-10487-1017128597.htm
人体步态及行为识别关键算法研究,杨旗,东北大学,2012-05-01,//cdmd.cnki.com.cn/Article/CDMD-10145-1015562327.htm
基于社交媒体的典型场景时空分析流程智能建模,李昊,武汉大学,2016-10-01,//cdmd.cnki.com.cn/Article/CDMD-10486-1017008764.htm
若干组合优化问题的算法研究,姚国辉,山东大学,2009-10-10,//cdmd.cnki.com.cn/Article/CDMD-10422-2010067578.htm
